Names,Category,risk_level,min_investment,return_rate
NIFTY 500,Stock,2,5000,0.57%
POWERINDIA,Stock,2,5000,20.00%
ACI,Stock,2,5000,16.50%
OLECTRA,Stock,2,5000,12.05%
JBMA,Stock,2,5000,9.20%
NETWEB,Stock,2,5000,8.23%
JWL,Stock,2,5000,7.75%
LAURUSLABS,Stock,2,5000,7.34%
J&KBANK,Stock,2,5000,6.23%
HBLENGINE,Stock,2,5000,6.00%
KPITTECH,Stock,2,5000,5.83%
UJJIVANSFB,Stock,2,5000,5.45%
GVT&D,Stock,2,5000,5.00%
SUZLON,Stock,2,5000,4.98%
SOLARINDS,Stock,2,5000,4.87%
TITAGARH,Stock,2,5000,4.85%
JUBLINGREA,Stock,2,5000,4.60%
VIJAYA,Stock,2,5000,4.43%
GRANULES,Stock,2,5000,4.39%
RAINBOW,Stock,2,5000,4.36%
IRCON,Stock,2,5000,4.02%
UPL,Stock,2,5000,3.86%
SHYAMMETL,Stock,2,5000,3.83%
GRINDWELL,Stock,2,5000,3.60%
RAILTEL,Stock,2,5000,3.46%
HONAUT,Stock,2,5000,3.43%
IDFCFIRSTB,Stock,2,5000,3.26%
TEJASNET,Stock,2,5000,3.21%
FORTIS,Stock,2,5000,3.17%
TRITURBINE,Stock,2,5000,3.17%
GODREJIND,Stock,2,5000,3.13%
POWERGRID,Stock,2,5000,3.04%
RCF,Stock,2,5000,3.03%
BRIGADE,Stock,2,5000,3.00%
PFC,Stock,2,5000,2.89%
SYRMA,Stock,2,5000,2.87%
HINDCOPPER,Stock,2,5000,2.85%
IIFL,Stock,2,5000,2.82%
PHOENIXLTD,Stock,2,5000,2.77%
HINDALCO,Stock,2,5000,2.66%
SOBHA,Stock,2,5000,2.65%
SJVN,Stock,2,5000,2.63%
BAJFINANCE,Stock,2,5000,2.63%
DATAPATTNS,Stock,2,5000,2.62%
INOXINDIA,Stock,2,5000,2.61%
GAIL,Stock,2,5000,2.60%
GODREJPROP,Stock,2,5000,2.59%
BDL,Stock,2,5000,2.58%
NCC,Stock,2,5000,2.57%
JBCHEPHARM,Stock,2,5000,2.52%
PEL,Stock,2,5000,2.52%
SCHAEFFLER,Stock,2,5000,2.48%
KIRLOSENG,Stock,2,5000,2.47%
RVNL,Stock,2,5000,2.46%
EMCURE,Stock,2,5000,2.45%
LODHA,Stock,2,5000,2.39%
BERGEPAINT,Stock,2,5000,2.39%
ONGC,Stock,2,5000,2.39%
ITI,Stock,2,5000,2.38%
DLF,Stock,2,5000,2.36%
DOMS,Stock,2,5000,2.35%
NLCINDIA,Stock,2,5000,2.34%
IRB,Stock,2,5000,2.33%
GESHIP,Stock,2,5000,2.32%
EXIDEIND,Stock,2,5000,2.32%
CESC,Stock,2,5000,2.31%
RBLBANK,Stock,2,5000,2.31%
FINEORG,Stock,2,5000,2.30%
IOC,Stock,2,5000,2.29%
BIKAJI,Stock,2,5000,2.28%
MGL,Stock,2,5000,2.27%
IRCTC,Stock,2,5000,2.22%
